playerAlias,Anderson
gender,M
age,
education,Fundamental Completo
destro,D
totalPlays,40
totalCorrect,36
successRate,1
playId,Anderson,8112016,122639
stageID,grupo2-v2
resultInt,optionChosenInt,correct, time
2,2,True,13,48319
2,0,False,1,017541
2,2,True,0,4172199
1,1,True,0,1330979
0,1,False,2,534049
2,0,False,1,832829
2,2,True,2,633889
1,2,False,0,434094
0,0,True,3,982508
2,2,True,2,416516
2,2,True,0,2845211
1,1,True,0,3504021
0,0,True,0,4331069
2,2,True,6,583217
2,2,True,0,1169012
1,1,True,0,4503469
0,0,True,0,2998829
2,2,True,0,5500998
2,2,True,2,432425
1,1,True,0,4001021
0,0,True,0,433109
2,2,True,1,583477
2,2,True,0,733633
1,1,True,1,81681
0,0,True,0,332634
2,2,True,0,550575
2,2,True,0,3000619
1,1,True,0,3661692
0,0,True,0,2979872
2,2,True,0,566735
2,2,True,0,316452
1,1,True,1,300074
0,0,True,0,5830669
2,2,True,2,600826
2,2,True,1,16671
1,1,True,0,534313
0,0,True,0,301142
2,2,True,0,300976
2,2,True,0,5172551
1,1,True,1,649398
