playerAlias,Aline
gender,F
age,19
education,Superior Incompleto
destro,D
totalPlays,60
totalCorrect,54
successRate,1
playId,Aline,8112016,131058
stageID,grupo1-v3
resultInt,optionChosenInt,correct, time
0,1,False,3,51614
2,1,False,2,733144
0,2,False,1,016514
0,1,False,0,7668219
2,1,False,1,733463
0,0,True,1,416333
0,0,True,3,016727
2,2,True,2,567125
0,0,True,0,384443
0,0,True,0,916651
2,2,True,1,43283
0,0,True,2,432982
0,0,True,1,950207
2,2,True,2,066669
0,0,True,1,883372
0,0,True,0,483474
2,2,True,2,201247
0,0,True,0,8499241
0,0,True,2,266283
2,2,True,2,001542
0,0,True,2,299845
0,2,False,0,4995201
2,2,True,1,000771
0,0,True,2,49907
0,0,True,2,183673
2,2,True,1,81679
0,0,True,2,116978
0,0,True,2,450393
2,2,True,2,683259
0,0,True,2,799986
0,0,True,0,6163762
2,2,True,1,000023
0,0,True,1,467133
0,0,True,1,349186
2,2,True,2,650352
0,0,True,1,566302
0,0,True,3,283817
2,2,True,0,4998171
0,0,True,0,900244
0,0,True,0,4165699
2,2,True,0,4489901
0,0,True,0,6496441
0,0,True,1,766994
2,2,True,0,566613
0,0,True,0,899749
0,0,True,0,2668099
2,2,True,0,983726
0,0,True,0,6670282
0,0,True,1,183753
2,2,True,0,499332
0,0,True,0,5342529
0,0,True,0,5663159
2,2,True,0,5829401
0,0,True,0,4332089
0,0,True,0,3835769
2,2,True,0,633795
0,0,True,0,8009191
0,0,True,0,8176579
2,2,True,0,999016
0,0,True,1,96688
