playerAlias,Amanda
gender,F
age,19
education,Superior Incompleto
destro,D
totalPlays,40
totalCorrect,33
successRate,1
playId,Amanda,8112016,13555
stageID,grupo2-v2
resultInt,optionChosenInt,correct, time
2,0,False,3,218765
2,1,False,1,73325
2,2,True,1,749742
1,2,False,2,748619
0,1,False,3,183351
2,1,False,3,067528
2,0,False,2,217236
1,2,False,7,749734
0,0,True,5,849774
2,2,True,10,61667
2,2,True,3,084077
1,1,True,8,432662
0,0,True,3,550115
2,2,True,4,900671
2,2,True,3,081947
1,1,True,4,583138
0,0,True,3,03324
2,2,True,3,18362
2,2,True,3,116818
1,1,True,3,434406
0,0,True,5,09922
2,2,True,2,200038
2,2,True,2,199405
1,1,True,2,633136
0,0,True,2,599761
2,2,True,2,366508
2,2,True,2,466876
1,1,True,0,7006049
0,0,True,2,500441
2,2,True,1,266677
2,2,True,2,133295
1,1,True,2,516403
0,0,True,4,567277
2,2,True,2,25033
2,2,True,0,766721
1,1,True,2,265917
0,0,True,2,716685
2,2,True,2,483285
2,2,True,0,799499
1,1,True,1,883533
