playerAlias,Aline
gender,F
age,19
education,Superior Incompleto
destro,D
totalPlays,40
totalCorrect,28
successRate,0,9
playId,Aline,8112016,1368
stageID,grupo1-v2
resultInt,optionChosenInt,correct, time
2,0,False,3,08396
0,1,False,1,750254
0,1,False,0,8501589
1,1,True,1,400608
0,2,False,2,666977
2,0,False,2,384041
2,1,False,0,9665549
1,1,True,2,450064
0,0,True,3,416924
2,0,False,0,6016829
2,2,True,2,032798
1,1,True,3,95093
0,0,True,3,133321
2,2,True,4,617308
2,1,False,6,150695
1,0,False,2,250201
0,0,True,3,132852
2,2,True,2,383361
2,1,False,2,882669
1,0,False,0,7660692
0,0,True,0,966207
2,2,True,2,133316
2,2,True,2,283761
1,1,True,1,116983
0,0,True,2,583206
2,2,True,3,949453
2,2,True,2,833079
1,1,True,0,7998669
0,0,True,2,266869
2,2,True,2,967115
2,2,True,2,666732
1,1,True,0,700788
0,0,True,1,150081
2,2,True,3,11714
2,2,True,2,88383
1,1,True,0,649816
0,0,True,2,449698
2,2,True,2,766911
2,1,False,2,132925
1,1,True,1,300045
